spacy_entities
"Ada witch -, PERSON
"Denton Rd, PERSON

"
"seconds, TIME

"
"night, TIME

"
"2 miles, QUANTITY
Berville, GPE
12 year old, DATE

"
"
"
"
"
"Ferris State University, ORG

"
"House, ORG
1920, DATE
Margaret, PERSON
Parks Cole Company, ORG
Birmingham, GPE
early morning hours, TIME
Michigan, GPE

"
"16 mile, QUANTITY
Woodward, PERSON
creepy, NORP
Trowbridge, GPE
100, CARDINAL
one, CARDINAL
Sunday, DATE
8p.m, CARDINAL
12 midnight every half hour, TIME
midnight, TIME
Trowbridge, GPE
creepy, NORP
half a mile, QUANTITY
about a mile, QUANTITY
250.00, MONEY

"
"Sacred Heart Academy - There, PERSON
Mary, PERSON
2, CARDINAL
today, DATE
August 2005, DATE

"
"one, CARDINAL
Van, PERSON
one day, DATE
Vanmoss, PERSON
Today, DATE

"
"1994, DATE
A few years, DATE

"
"the first years, DATE

"
"
"
"Michigan, GPE
hundreds, CARDINAL

"
"Point Iroquois Lighthouse, ORG
Brimley, ORG
Indian, NORP
1600, DATE
Ojibwe, NORP
Iroquois, GPE
Iroquois, GPE

"
"3, CARDINAL
3, CARDINAL

"
"the early 90's, DATE
second, ORDINAL

"
"about 9:00pm to 3:00 am, TIME

"
"late hours, TIME

"
"
"
"Nick Bradon, PERSON

"
"1903, DATE
Elanda Rowe, ORG
Helena Modjeska, PERSON

"
"
"
"Denton Road, FAC
one, CARDINAL
night.- November 2003, DATE

"
"Old Frank's Nursery & Crafts - Employees, ORG

"
"
"
"1800, DATE
2 feet, QUANTITY
summer night, TIME

"
"The Lamplights Inn, ORG
Central Lake, LOC
since 1924, DATE
the very early 1900s, DATE
the early '50s, DATE
late '20s - early '30s, DATE
the years, DATE
second, ORDINAL
Gill, PERSON
first, ORDINAL
years, DATE
the early '50s, DATE
one, CARDINAL
1979, DATE
Ted Strzempek, PERSON
Murphy, PERSON

"
"
"
"Rick Eaton, PERSON
1923, DATE
1902, DATE
Rick, PERSON
Rick, PERSON

"
"ISS, ORG
60, CARDINAL
ISS, ORG

"
"2, CARDINAL

"
"January 2007, DATE

"
"Years ago, DATE
1:00am in the morning, TIME

"
"
"
"
"
"night, TIME

"
"night, TIME
Santa, ORG
3, CARDINAL
1985, DATE
1837, DATE
Indians, NORP
Chesaning, GPE

"
"late at night, TIME
the Sunflower Bridge, FAC

"
"every night, TIME

"
"night, TIME

"
"Hayes, PRODUCT
18, CARDINAL
about 30, CARDINAL
1800, DATE
12:00 at night, TIME
Friday, DATE

"
"About 20 years ago, DATE
morning, TIME
10 or so years ago, DATE
overnight, TIME
the day, DATE
About 6 or, CARDINAL
7 years ago, DATE
Indian, NORP
the months, DATE
one night, TIME

"
"the Spring, Summer, DATE
early Fall, DATE
Shadows, PRODUCT

"
"Rodney B. Wilson, PERSON
closing hours, TIME

"
"
"
"The Night Here, You Can See Ghosts Of People, WORK_OF_ART
1800, DATE

"
"about midnight, TIME
Friday nights, DATE

"
"a Haunted House, ORG
October, DATE

"
"2, CARDINAL

"
"three different days, DATE
One, CARDINAL
two, CARDINAL

"
"1970, DATE
Croton Dam, FAC
the early morning, TIME
about ten feet, QUANTITY
a prosperous day, DATE

"
"one, CARDINAL
summer, DATE

"
"the late 1800's, DATE
27, CARDINAL

"
"2 miles, QUANTITY
Seven, CARDINAL
Seven, CARDINAL
a few years later, DATE
2 months later, DATE
25 years, DATE
2, CARDINAL
seven, CARDINAL
seven, CARDINAL
Williamston, PERSON

"
"December 2006, DATE
About a year ago, DATE

"
"Several years ago, DATE
night, TIME
DC, GPE
night, TIME

"
"night, TIME
Jack, PERSON
the night, TIME

"
"night, TIME
about the old days, DATE
one, CARDINAL

"
"Firestone Farm, ORG
Webster, PERSON
Webster, PERSON

"
"Henry ford, PERSON
Henry ford, PERSON
Kennedy, PERSON
Shot, PERSON
the evening, TIME
two, CARDINAL

"
"Ford, ORG
The Michigan Ghost Watchers, ORG
one, CARDINAL
Ford, PERSON

"
"Guild, PERSON

"
"418, CARDINAL
three, CARDINAL
two, CARDINAL
French, NORP

"
"2, CARDINAL

"
"nighttime, TIME

"
"About 33 years ago, DATE
Berwyn elementary(located, FAC
Berwyn, PERSON
Richardson, PERSON
today, DATE
Today, DATE
the Berwyn Senior Center, ORG

"
"25, CARDINAL

"
"night, TIME

"
"Mary, PERSON
second, ORDINAL

"
"
"
"this past summer, DATE
2002, DATE
Couple, CARDINAL

"
"A few years ago, DATE
7.45, DATE
13 years ago, DATE

"
"Van Buren County, PERSON
the Morris Family, ORG
Sept 29th, DATE
this date the 29th of Sept, DATE
Ester, PERSON
Charles Morris, PERSON
March 2004, DATE
Update/Correction, ORG
Esther Morris, ORG
several years, DATE
Esther Morris, ORG
Morrises, ORG
Morris, PERSON
September 28, 1879, DATE
Anderson, PERSON
Decatur, GPE
Van Buren, FAC
Marcellus, GPE
Cass County, GPE

"
"50s, DATE

"
"2nd, ORDINAL
every night, TIME
around 11:00 pm, TIME
2nd, ORDINAL

"
"
"
"the African Gallery, ORG
the afternoon, TIME
midnight, TIME
African, NORP
the American Gallery, ORG

"
"1912, DATE
the Masons, ORG
over 1,000, CARDINAL
George D. Mason, PERSON
despondent & jumped, ORG
one, CARDINAL
third, ORDINAL
the Drill Hall, FAC

"
"1944, DATE

"
"Late at night, TIME

"
"Clara Ford Pavilion, PERSON
the early morning hours, TIME
One, CARDINAL
first, ORDINAL
1926, DATE
every morning, TIME
75lbs, DATE

"
"Tunnel, ORG
Canada, GPE
a rainy day, DATE
Tunnel, ORG
Canada, GPE
four, CARDINAL

"
"Majestic, ORG
Woodward, PERSON
Harry Hudini, PERSON
several nights, DATE
the 3 years, DATE

"
"Ossip Gabrilowitsch, PERSON
Detroit, GPE
Second Music Director, ORG
Son, PERSON
Samuel Clemens, PERSON
Detroit, GPE
Orchestra Hall, ORG
Gabrilowitsch, PERSON
the Detroit Symphony, ORG

"
"several decades ago, DATE
up to one, CARDINAL

"
"St. Andrews, GPE
Shelter, ORG
one, CARDINAL

"
"Mercy - Marion Hall -, ORG
January 2007, DATE

"
"David Whitney, PERSON
David Whitney, PERSON

"
"about a mile, QUANTITY
Huron River Dr., LOC

"
"the First United Methodist Church, ORG
overnight, TIME

"
"100 years old, DATE
Bock, PERSON
Bock, PERSON
about two feet, QUANTITY

"
"night, TIME
night, TIME
Casey, PERSON

"
"
"
"
"
"
"
"Holmes Hall -  On, PERSON
sixth, ORDINAL
the west building, LOC

"
"Holmes Hall - West - On, PERSON
6th, ORDINAL
two, CARDINAL
night after 3 AM, TIME

"
"Hubbard Hall - on, PERSON
12, CARDINAL
South, LOC
9th, ORDINAL

"
"Mason Hall, ORG
1975, DATE
early in the morning, TIME

"
"Mayo Hall - Strange, PERSON
two, CARDINAL
Mary Mayo, PERSON
fourth, ORDINAL
third, ORDINAL
fourth, ORDINAL

"
"Michigan State University, ORG

"
"the Physical Plant, ORG
25, CARDINAL
17, CARDINAL
nights, TIME
July Saturdays, DATE
noon, TIME

"
"Williams Hall - Incidents, PERSON
night, TIME

"
"the early 1920's, DATE

"
"
"
"10 MILE HAYES, QUANTITY
ATM, ORG
1946, DATE

"
"Frost Cemetery/Munchkin, PERSON
Brush Lake Rd, GPE
Frost, PERSON
late at night, TIME

"
"the Civil War, EVENT
one day, DATE
the Civil War, EVENT
Mitz, PERSON
today, DATE

"
"night, TIME
the Muskegon River, LOC

"
"the 1800s, DATE

"
"Grand River, LOC
Farmington, GPE
the west gate, LOC
April 2007, DATE

"
"100%, PERCENT

"
"Haunted Michigan, WORK_OF_ART
Noises(footsteps, CARDINAL
night, TIME
Hotel, ORG
many years, DATE

"
"about 4 to 5 feet, QUANTITY

"
"3, CARDINAL

"
"midnight, TIME
Woodward, PERSON
between 8 mile, QUANTITY
Marshall, PERSON
3 in the morning, TIME

"
"one, CARDINAL
Two, CARDINAL
Hauntings, PERSON

"
"one, CARDINAL
1980, DATE
Iron, ORG
1953, DATE
2 to 3, CARDINAL
Indian, NORP

"
"moans, NORP

"
"Cornwall, PERSON
3rd, ORDINAL

"
"
"
"3rd, ORDINAL
3rd, ORDINAL

"
"some one, CARDINAL
night, TIME
one, CARDINAL

"
"Graves, GPE
12:00, TIME

"
"Minnie Quay, ORG
the Forester Inn, LOC
the Forester Inn, ORG
the Forester Cemetery, LOC

"
"Minnie Quay, ORG
Minnie, PERSON
around 15 years of age, DATE
Minnie, ORG
Minnie, PERSON
Lake Huron, LOC

"
"One night, TIME
Every summer night, TIME
around 11:30 pm, TIME

"
"the late 1800's, DATE
Lorenz Lutheran, PERSON
1928, DATE
the late 1940's, DATE

"
"the night, TIME

"
"creepy, NORP
mans, NORP

"
"
"
"Applebrook Farm, ORG
100 years old, DATE
white house, ORG
ALWAYS, ORG

"
"years, DATE

"
"Garden City High School, FAC
1800, DATE

"
"O'Leary Auditorium -  , PERSON
two, CARDINAL

"
"136, CARDINAL
1984, DATE

"
"13 year old, DATE
late at night, TIME
3rd, ORDINAL
3, CARDINAL
4, CARDINAL
Cambridge, GPE

"
"
"
"L3, PRODUCT
Tarnow, PERSON
Phareel, WORK_OF_ART
two, CARDINAL

"
"weeks later, DATE

"
"Raymond Visnaw, PERSON

"
"the night, TIME

"
"
"
"
"
"a long time ago, DATE
Grand Haven, GPE
around 1995, DATE

"
"Jan. 6th, 2005, DATE
the Grand Theatre, ORG
today, DATE

"
"Ferry Hill, FAC
William Ferry, PERSON
Grand Haven, GPE

"
"three, CARDINAL
Sawdon High School, ORG
second, ORDINAL
second, ORDINAL
third, ORDINAL
second, ORDINAL
Sawdon, PERSON

"
"Formerly Michigan Bell Telephone Company -  , ORG
Fountain and Division, ORG
Randall, PERSON
today, DATE

"
"
"
"Lowe, PERSON
Aquinas College, ORG
one, CARDINAL

"
"Norwich St, PERSON
second, ORDINAL
30, DATE
40, DATE
approximately 10:00 to 11:30, TIME
minutes, TIME
1996, DATE

"
"Pickett Hall, FAC
late hours, TIME
70, DATE

"
"Pickett Hall, PERSON
Pickett Hall, FAC
late hours, TIME
70, DATE

"
"
"
"first, ORDINAL
1886, DATE
Civil War, EVENT
the present day, DATE
Civil War, EVENT

"
"one, CARDINAL

"
"North House Lecture Hall, ORG
early one morning, TIME
the first row, DATE
second, ORDINAL

"
"1970,a, CARDINAL
Susan, PERSON

"
"13, CARDINAL

"
"the Thornapple Village Inn, ORG
Ada, LOC
one, CARDINAL

"
"Hundreds, CARDINAL
1980, DATE

"
"Monroe Center Cemetery - Odawa, PERSON
Bear Walk, ORG
Native, NORP

"
"300 year old, DATE
christian, NORP
mid 1800's, DATE
one, CARDINAL
only hours, TIME

"
"
"
"
"
"Grayling, GPE
1900, DATE

"
"March 2008, DATE

"
"Griffen, PERSON

"
"the west hall, GPE
27, CARDINAL
23 years ago, DATE

"
"June 2008, DATE
Detroit, GPE
Gross Isle, GPE
one night, TIME
several miles, QUANTITY
Knock Knock, WORK_OF_ART
Detroit, GPE
June 12th 1962, DATE

"
"ford, ORG
the United States, GPE
the American Revolution, EVENT
British, NORP
Grosse Isle, FAC
1812,as, CARDINAL

"
"the middle of the night, DATE
10 -12 year old, DATE
night, TIME

"
"Lake St. Clair, FAC

"
"third, ORDINAL
2 o'clock, TIME

"
"Penn, PERSON
one, CARDINAL
12, CARDINAL
the night, TIME
the next morning, TIME
one, CARDINAL
May 2005, DATE

"
"the Allegan Woods, FAC

"
"Kappa Tau House, PERSON
102 year, DATE
One, CARDINAL
20-30 years ago, DATE
ROOM 1, LAW
70 degrees, QUANTITY

"
"
"
"
"
"
"
"Indian, NORP
Indian, NORP
Turkey Feather, PERSON

"
"1960, DATE
half, CARDINAL
Harrison, PERSON
Harrison Township, GPE

"
"One, CARDINAL
Reinke, PERSON
6 years old, DATE
Budd Lake, LOC
Reinke, PERSON
The next day, DATE
all day, DATE
One night, TIME

"
"
"
"night, TIME

"
"third, ORDINAL

"
"around 70 feet, QUANTITY
one day, DATE
midnight, TIME

"
"1890, DATE
Michael Schwarz, PERSON
America, GPE
one, CARDINAL
Dutch, NORP
Schwarz, PERSON
moonlit nights, DATE
Holland, GPE

"
"
"
"Holt High School, ORG
5 feet, QUANTITY
Auditorium, LOC

"
"1900, DATE

"
"1980, DATE
March 7th, DATE

"
"2, MONEY
Walgreen’s, ORG

"
"moans, NORP

"
"Several miles, QUANTITY
TB, ORG

"
"Union Chapel, ORG
Michigan, GPE
Inkster Rd, GPE
9 years old, DATE
Mary Jane Walker, PERSON
Jan. 6 1866, DATE
one, CARDINAL

"
"1920, DATE
the Interlochen Arts Camp, ORG
today, DATE
the Arts Camp, FAC
1920, DATE
Grunow, PERSON
night, TIME
Alice, PERSON
Interlochen, ORG

"
"St., ORG

"
"Years ago, DATE
Oak Hill Cemetery, FAC
Ionia, GPE
five, CARDINAL
night, TIME
One, CARDINAL
3 A.M, DATE
four, CARDINAL
the first Saturday of every month, DATE
between 2 and 3 A.M, DATE

"
"15 years, DATE

"
"Michigan, GPE

"
"
"
"Jacob crouch's, PERSON

"
"
"
"January 2007, DATE

"
"March 2007, DATE
Vicksburg, GPE

"
"Sisters, PERSON
1, CARDINAL

"
"a hundred years old, DATE
Gilmoure, ORG
the 30's, DATE
Kalamazoo, GPE
second, ORDINAL
night, TIME

"
"Alamo Hill, LOC
Douglas Ave, PERSON
TB, ORG

"
"three, CARDINAL
The Riverside Cemetery, FAC
Jewish, NORP
Mt. Olivet Catholic Cemetery, FAC

"
"Fran Leaf, WORK_OF_ART

"
"9th, ORDINAL
1960's, DATE

"
"Oakwood Cemetary - Oakwood, ORG
Cannonsburg, ORG
Brewer, LOC
Oakwood, ORG
Brewer, PERSON
Grand River Valley, LOC
Austerlitz, ORG
forgotton, GPE
1980, DATE
Grand Rapids, GPE
night, TIME
Brewer, GPE
Cannonsburg, PERSON
Doubtfull, PERSON
Homes, PERSON
Oakwood, ORG
late at night, TIME

"
"F, ORG
plant/3rd, PRODUCT

"
"Only one, CARDINAL

"
"this day, DATE

"
"1932, DATE
80 degree night, QUANTITY

"
"K-Mart, ORG
Pine Mountain Road, FAC
Marquette, GPE
midnight, TIME
20, CARDINAL
The Hitch, WORK_OF_ART

"
"U.P. Investigators, ORG
Iron Mountain, LOC
Kingsford, GPE
two, CARDINAL

"
"June 2008, DATE

"
"Verna Drive - Update, PERSON
The Monroe County Paranormal Society, ORG
Bedford Township, GPE
Lambert Estates, PERSON
Lambertville, GPE
Michigan, GPE
Lambert Estates, ORG
Lambert Estates, PERSON
Verna Drive, PERSON
1957, DATE
the early summer of 1978, DATE
Steven Madison, PERSON
33-year-old, DATE
Toledo, GPE
Ohio, GPE
Verna Drive, PERSON
7, CARDINAL
3, CARDINAL
1, CARDINAL
2, CARDINAL
2 female, QUANTITY
3, CARDINAL
3, CARDINAL
two, CARDINAL
the early July's, DATE
3 consecutive nights, DATE
one evening, TIME
first, ORDINAL
a week, DATE
the end of the week, DATE
two months later, DATE
Toledo, GPE
Steven Madison, PERSON
this day, DATE
June 2008, DATE
first, ORDINAL
Lambert, ORG
this day, DATE
Temperance, PERSON
Lambertville, GPE

"
"one, CARDINAL

"
"four, CARDINAL
the 1880s, DATE
two, CARDINAL
House, ORG
Capitol, FAC

"
"one day, DATE
one, CARDINAL

"
"first, ORDINAL

"
"Farmington Grave, ORG
3, CARDINAL
12 midnight every night, TIME

"
"the early 1970's, DATE
late at night, TIME

"
"one, CARDINAL
changes.-, ORG
November, DATE

"
"evening, TIME
Bree, PERSON

"
"16yr, ORDINAL

"
"night, TIME

"
"Bailey, GPE
Howls, ORG

"
"Angel Lake - At, PERSON
one, CARDINAL

"
"about 20 years ago, DATE
one day, DATE
1 - 2 am, TIME

"
"24 mile, QUANTITY
Card, PERSON
1929, DATE
the early 80's, DATE
late at night, TIME
second, ORDINAL
second, ORDINAL

"
"
"
"this Bed & Breakfast, ORG
Piano, PERSON

"
"Mackinac, GPE
Two, CARDINAL
British, NORP
Indians, NORP

"
"this day, DATE
the ""Black Hole"" of the guardhouse, EVENT
the North Sally Port, ORG

"
"the Grand Hotel, ORG
first, ORDINAL
US, GPE

"
"the Mackinac Bridge, FAC
2, CARDINAL
Wikipedia 1, FAC
1989, DATE
1, CARDINAL
1997, DATE
5, CARDINAL

"
"one, CARDINAL
Marquette, GPE
over 1000, CARDINAL

"
"the Mission House, ORG
Christian, NORP
Indians, NORP
Indian, NORP
first, ORDINAL
two, CARDINAL
night, TIME

"
"Harvey, PERSON
Mission Point, PERSON
the next morning, TIME
Mission Point's, ORG

"
"
"
"100 years ago, DATE
one, CARDINAL

"
"33, CARDINAL
One, CARDINAL

"
"
"
"Lesalles Griffon, PERSON
Mackinac, GPE

"
"the early 60's, DATE
Madison Heights, GPE
Lamphere High School, ORG

"
"5 seconds, TIME
the best day, DATE

"
"Chelsea, ORG
Pink Palace, FAC
Victorian, NORP
Satanists, ORG
Latin, LANGUAGE

"
"one, CARDINAL
a few years ago, DATE
T.J. Ramsdell, PERSON

"
"two, CARDINAL
British, NORP
the War of 1812, EVENT
two, CARDINAL
British, NORP
Two, CARDINAL
Indians, NORP
Manitoulin Island, GPE
Canada, GPE
Indians, NORP
Indians, NORP
two, CARDINAL

"
"Lighthouse, ORG
Anita, PERSON
Newport, ORG
3 weeks later, DATE

"
"the summer of 2003, DATE
5-10 minutes, TIME
One, CARDINAL
Sunday, DATE
morning, TIME
five minutes later, TIME
104.3, CARDINAL
that day, DATE
All week, DATE
Sunday morning, TIME
last Sunday, DATE
2 hours, TIME
10-15 minutes, TIME
about 20 minutes later, TIME
Edge Of, WORK_OF_ART
Seventeen, CARDINAL
Stevie Nicks, PERSON
an hour, TIME
a few inches, QUANTITY
One, CARDINAL
5-gallon, CARDINAL
about 15 inches, QUANTITY
30 inches, QUANTITY
3, CARDINAL
the next day, DATE
several months, DATE
two weeks, DATE
years, DATE

"
"Years ago, DATE
Morrises, ORG
One night, TIME
2, CARDINAL
the Anderson Cemetery, FAC
this day, DATE
the night, TIME

"
"two, CARDINAL

"
"late at night, TIME

"
"Amelia Earhart, PERSON

"
"John X. Jamrich Building, PERSON
102, CARDINAL
Northern Michigan University, ORG
the past two years, DATE

"
"Halverson Hall, ORG
304, CARDINAL
304, CARDINAL
Halverson, GPE
Northern Michigan University, ORG

"
"Forest Roberts, ORG
Perry, PERSON
60, CARDINAL
all hours, TIME
midnight, TIME

"
"Perry, PERSON
Thomas Fine Arts Building, PERSON
dozens, CARDINAL

"
"Thomas Fine Arts Building, PERSON
Forrest Roberts, PERSON
Thomas, PERSON
night, TIME
several seconds, TIME
the day, DATE
Perry, ORG
McClintoc, NORP

"
"One, CARDINAL
winter, DATE
6, CARDINAL
today, DATE
half, CARDINAL

"
"Front Street, FAC
years ago, DATE
a bar years later, DATE
1930, DATE
late at night, TIME

"
"the end of seven, DATE
Dexter, PERSON
Meridian, PERSON
6, CARDINAL
Killer, PERSON
Hidden, GPE

"
"the Hommochitto River, LOC
Franklin County High School, ORG
1950, DATE
Every night, TIME

"
"M-19, PERSON
Richmond, GPE
Memphis, GPE

"
"
"
"one, CARDINAL
this day, DATE
moans, NORP

"
"
"
"about 13 years old, DATE
20 years ago, DATE

"
"5 years ago, DATE
2, CARDINAL
one night, TIME
Bennegains, PERSON
two, CARDINAL
night, TIME
3, CARDINAL

"
"hours, TIME

"
"the Midland Cemetery, FAC
11, CARDINAL
One, CARDINAL
two, CARDINAL

"
"the 1980s, DATE
1 year old, DATE
14 year old, DATE
five, CARDINAL
1-year-old, DATE
1st, ORDINAL
second, ORDINAL
third, ORDINAL

"
"night, TIME
East, LOC
Meyer Hill, GPE
three, CARDINAL
one night, TIME
4, CARDINAL
one, CARDINAL
two, CARDINAL

"
"2nd, ORDINAL
3rd, ORDINAL

"
"Josh, PERSON

"
"Milan, GPE
1910, DATE
about 23, CARDINAL

"
"
"
"creepy, NORP

"
"Millington, GPE
the day, DATE
Millington, GPE

"
"
"
"Cemetery, PRODUCT

"
"
"
"Jack Jacobie, PERSON

"
"1980, DATE
1990, DATE
the night, TIME
One, CARDINAL
This Junk Yard, ORG
Hauntings, PERSON
more than three years, DATE
Update/Correction, ORG

"
"Beddow Hall - Reports, PERSON
the night, TIME

"
"Carlin Alumni House -, PERSON
University Presidents, ORG
two, CARDINAL
the night, TIME
two, CARDINAL
Another night, TIME
one, CARDINAL

"
"Cobb Hall - 4th Floor - Many, FAC
404, CARDINAL
two, CARDINAL
405, CARDINAL
the middle of the night, DATE

"
"Troutman Hall - In, PERSON
602, CARDINAL
Troutman, GPE
the middle of the night, DATE

"
"Warriner Hall - long ago, PERSON
Warriner Hall, PERSON
CMU, ORG
December 2003, DATE

"
"
"
"State Mental, ORG
just a few hundred feet, CARDINAL
one, CARDINAL
Mt. Pleasant, LOC
one, CARDINAL
night, TIME

"
"
"
"The Northshore Hospital, ORG
TB, ORG
North Muskegon, GPE
graffiti, PERSON
September 2004, DATE

"
"the years, DATE
Charles Hackley, PERSON

"
"Saturday, DATE
night, TIME
Sunday, DATE

"
"Putnam, PERSON
TB, ORG
around 4:00 o'clock, TIME
Putnam, ORG
Putnam, ORG
16, DATE
Putnam, PERSON
the day, DATE
Today, DATE
Maid, PERSON
Putnam, PERSON
Putnam, PERSON

"
"
"
"One, CARDINAL
last weeks, DATE
The Voice the Hathaway, ORG
50,000, CARDINAL
two, CARDINAL

"
"Mi, ORG
Newberry, PERSON
about 6 yrs and, CARDINAL
6 months of age, DATE

"
"
"
"1800, DATE
the middle of the night, DATE
every night, TIME
this day, DATE
every night, TIME

"
"Morris Chapel, PERSON
Kathryn, PERSON
night, TIME
night, TIME

"
"
"
"the late 1800s, DATE
night, TIME

"
"Restaurant & Bar - The Dorsey House, ORG
Port Huron, FAC
Dorsey House, PERSON
the mid 1995, DATE

"
"Northville, GPE
40, DATE
200 dollar, MONEY
90, DATE
Satanists, ORG
north-east, LOC
Sheldon, ORG
5 mile, QUANTITY

"
"
"
"1800, DATE

"
"Sweet Home, PERSON
the early 1800's, DATE
12-ft oak banister, QUANTITY
the night, TIME
9, CARDINAL
November 2003, DATE

"
"
"
"
"
"The Nunica Cemetery, ORG
I-96, PRODUCT
Bond, PERSON
Bond, PERSON

"
"one, CARDINAL

"
"Dunn's Tomb - Drahner Road, ORG
two, CARDINAL

"
"North Oakland Medical Center, ORG
Pontiac General Hospital - Apparition, ORG
7th, ORDINAL
at least one, CARDINAL
only one, CARDINAL

"
"East Buno, GPE
8, CARDINAL
FBI, ORG
Al Capone, LOC
Wixom, ORG

"
"Baldwin Theater - Located, PERSON
Royal Oak, ORG
4th, ORDINAL
Lafayette, ORG
the Baldwin Theatre, ORG
1922, DATE
the night, TIME
second, ORDINAL
night, TIME
One, CARDINAL
October 2007, DATE
one, CARDINAL

"
"Mesceola Rd, PERSON
Reed City, GPE
Paris, GPE
first, ORDINAL
third, ORDINAL

"
"Small Liberal Arts College, ORG
1844, DATE
One, CARDINAL

"
"Margaret Upton Conservatory of Music, ORG
1844, DATE
Conservatory, ORG
Margaret Upton, PERSON
Conservatory, ORG
Dole Hall, FAC
Rumor, ORG
Dole Hall, PERSON

"
"Phantom, ORG
Shepherd's Hall, ORG
150 years old, DATE

"
"night, TIME

"
"
"
"night, TIME
creepy, NORP
Halloween night, TIME
12:00 at night, TIME
the day, DATE

"
"April 2008, DATE

"
"Baker, PERSON
Christian, NORP
the days, DATE
Baker, PERSON
first, ORDINAL

"
"night, TIME
womans, NORP
hours, TIME

"
"about 18 years of age back, DATE
1900, DATE
this day, DATE

"
"summer, DATE
Glenwood Ave, FAC
three, CARDINAL

"
"Michigan, GPE
hours, TIME

"
"night, TIME

"
"Every clear night, TIME
a few seconds, TIME
every night, TIME
One, CARDINAL

"
"Thomas ford, PERSON

"
"3, CARDINAL
3, CARDINAL
1, CARDINAL
1990, DATE
2nd, ORDINAL
3rd, ORDINAL
second, ORDINAL

"
"1902, DATE

"
"Between the hours of ten p.m., TIME
two a.m., TIME
three, CARDINAL

"
"the late 20's, DATE
Cordley, GPE
this day, DATE

"
"every night, TIME

"
"Three, CARDINAL

"
"
"
"1938, DATE
1955, DATE
November 1, 1938, DATE

"
"
"
"hours, TIME

"
"night, TIME
night, TIME
400lbs, CARDINAL

"
"one, CARDINAL
the end of the day, DATE
2:27-2:50, DATE

"
"Ann Arbor, ORG

"
"Officer Dolinski, PERSON

"
"creepy, NORP
Pontiacs, ORG
a hundred years ago, DATE

"
"the early 20th century, DATE
moans, NORP

"
"the Eagle Theatre -  , ORG

"
"night, TIME

"
"Early one morning, TIME
179, CARDINAL
half, CARDINAL

"
"McMorran Theater, PERSON
